"Record ID","Record","Description","Primary location > Country","Foundation date","Twitter follower count","Twitter","LinkedIn","Domains","Categories","Connection strength","Last interaction > When"
"36fbf478-152b-4909-87b7-6813ad597bd9","Google",,,,,,,"xwf.google.com",,"Very strong","2026-05-18T03:18:07Z"
"412ee999-ea3f-4362-8e39-7a6a918e79b4","Google",,,,,,,"google.com",,"Very strong","2026-05-18T03:18:07Z"
"7e971a22-efb4-4db5-913e-d8395194626e","Microsoft",,,,,,,"microsoft.com",,"Very weak","2025-04-14T23:51:49Z"
"ca26297a-db58-46e3-a403-f312bc1f807a","live.nl",,,,,,,"live.nl",,,"2022-04-25T14:00:00Z"
"d9c211df-f161-4a11-bf92-d1c070b76081","Microsoft",,,,,,,"live.com.mx",,"Weak","2025-08-20T00:00:00Z"
"49d74fe7-4339-4d35-ac75-a0034f40edea","Disney",,,,,,,"disney.com",,,
"042c99ee-8c12-4b92-84c3-687c74c6f6db","Nike",,,,,,,"nike.com",,,"2023-01-31T16:50:00Z"
"e379a376-e612-4b92-b055-722d8fcc1965","Apple",,,,,,,"apple.com",,,
"9cd0a82a-2785-4902-8f52-a78aba5b6074","CBS News",,,,,,,"cbsnews.com",,"Very weak","2024-11-19T17:35:03Z"
"dcb54aca-b660-4f5f-9a3b-b717c77495d9","Coinbase",,,,,,,"coinbase.com",,"Strong","2026-02-10T00:00:00Z"
"6fce93de-f306-47ab-84fb-aed647c12ff9","World Economic Forum",,,,,,,"weforum.org",,"Very strong","2026-05-15T13:54:43Z"
"623c3739-6a4e-407e-a63d-5536db139072","UNESCO",,,,,,,"unesco.org",,"Weak","2026-05-19T15:50:23Z"
"e7b00c4c-f522-45ff-a3cd-6b2715c70d65","Gobierno de la Ciudad de México",,,,,,,"pilares.cdmx.gob.mx",,"Very weak","2024-08-07T18:44:30Z"
"9eecea48-2874-4d1e-88e2-f5b71d41c518","Coca-Cola",,,,,,,"coca-cola.com",,"Weak","2026-05-05T16:07:17Z"
"b69004cd-b02f-41db-9104-55a0267e57b8","Animal Político",,,,,,,"animalpolitico.com",,"Very weak","2024-12-19T20:42:14Z"
"117bb027-76dc-40fd-9877-0c5eb6db8843","Banco Bilbao Vizcaya Argentaria Sa",,,,,,,"bbva.com",,"Very weak","2025-12-02T17:24:27Z"
"eb9ba4e2-45e6-4f26-b592-f598991abd44","gobmx",,,,,,,"inami.gob.mx",,"Very weak","2025-08-02T18:45:01Z"
"03ec72c0-e0c1-4a1f-a851-7d841bf1aff4","El Financiero",,,,,,,"elfinanciero.com.mx",,"Very weak","2025-08-13T22:00:00Z"
"53bc1041-d41d-4aa0-b7f7-dd4d0da0c1ab","OpenAI",,,,,,,"openai.com",,"Weak","2025-08-05T18:20:59Z"
"e26e374a-8df4-4122-bd82-da9cc9ccf4ad","United Nations Development Programme",,,,,,,"undp.org",,"Very weak","2025-02-13T16:12:44Z"
"8a80ce19-14a8-4fcc-88ea-6225826e1446","LinkedIn",,,,,,,"cs.linkedin.com",,"Very weak","2026-04-17T21:00:22Z"
"be9b18a4-fdec-4d27-9f27-e4b26105b51b","LinkedIn",,,,,,,"linkedin.com",,"Very weak","2024-08-27T19:11:28Z"
"c3649215-5c59-4e6f-8dec-092edcf5e0d7","Ticketmaster México",,,,,,,"ticketmaster.com.mx",,"Very weak","2025-02-27T00:06:43Z"
"9d389b88-ffce-40b0-aa41-e0e058612775","Harvard University",,,,,,,"harvard.edu",,"Very weak","2025-02-05T15:00:00Z"
"b12e5581-de79-407f-8a40-2e66eba83e5b","Harvard University",,,,,,,"hks.harvard.edu",,"Very weak","2025-02-05T15:00:00Z"
"eb5b2cae-360d-45ae-8008-01a54e7d0221","Walmart",,,,,,,"walmart.com",,"Very weak","2025-07-23T16:54:22Z"
"444ed1e0-8666-4902-aff9-f777d5a9eb19","3M",,,,,,,"mmm.com",,,"2024-02-12T23:00:00Z"
"f885aec8-4c48-4471-986e-f78309e7920c","Massachusetts Institute of Technology",,,,,,,"mit.edu",,"Very weak","2025-02-05T15:00:00Z"
"0fe704c5-7192-4060-9302-8ef4d83f0fb1","United Airlines",,,,,,,"united.com",,,
"a5e810eb-4fef-47ee-b164-cdd2ed0fb493","Stanford University",,,,,,,"stanford.edu",,"Very weak","2025-12-02T04:39:39Z"
"e3681557-6439-44c7-8a5d-ece4cf9d95d4","PayPal",,,,,,,"paypal.com",,,
"a5d67efa-bfbf-43f3-8a99-c25433abc0d8","Grupo Financiero Banamex, S.A. de C.V",,,,,,,"citibanamex.com",,"Very weak","2025-06-06T19:40:23Z"
"922763f4-d59f-40bc-8ad7-2ae1f1231dd0","Airbnb",,,,,,,"airbnb.com",,,
"0a79c6f6-6b71-45a9-b465-a4a5d4485e8c","HubSpot",,,,,,,"hubspot.com",,"Very weak","2024-12-04T21:59:47Z"
"763dc8f7-e11c-4f54-b7cd-8f1c83dedf56","Dell",,,,,,,"dell.com",,"Very weak","2026-05-05T16:07:17Z"
"015b6c86-4d71-4535-9203-327138d6a5a2","HubSpot",,,,,,,"bf07x.hubspotemail.net",,"Very weak","2024-10-12T00:13:48Z"
"2371be91-1429-487f-8545-c07619136be7","HubSpot",,,,,,,"bf04x.hubspotemail.net",,"Very weak","2025-12-02T18:02:48Z"
"69755cf1-bf01-4fa1-bfde-f801d24f40c1","HubSpot",,,,,,,"bf05x.hubspotemail.net",,"Very weak","2024-11-19T18:11:49Z"
"d9a16206-6bc3-42ca-bbbe-a8913e630b59","University of Cambridge",,,,,,,"cam.ac.uk",,"Very weak","2025-02-05T15:00:00Z"
