"Record ID","Record","Deal stage","""Deal stage"" Changed At","""Deal stage"" Previous Values","Deal owner","Deal value","Next due task"
"2479c20a-fae8-45fd-b60b-cbfd1366ef17","Clase Heineken","Por facturar","2026-04-29T13:46:02Z","","Frida Ruh",,
"68ec7b60-92ea-497f-bfa9-16086e58b7de","Chatbot + automation","Pagado","2026-03-05T13:52:26Z","Lead,Por recibir pago","Frida Ruh","8000",
"a132eea9-c51a-4d08-b3ce-d904336d3af4","Clase 2 Swatch","Pagado","2026-03-26T16:40:24Z","Por facturar,Por recibir pago,Por facturar,Por recibir pago","Frida Ruh","6000",
"25203c28-bbaa-478f-82d6-1a9700efa934","Clase “IA y Humanidad: ¿Cómo se decide el futuro?”","Pagado","2026-02-27T11:48:25Z","","Frida Ruh","10500",
"4939db7b-d400-4b6a-8f06-25881ac3a432","Asesorias OpenClaw","Por realizarse","2026-03-04T14:08:41Z","Lead","Frida Ruh","1200",
"67058836-15d7-4632-ae48-422b995a1606","Empresa de productos higiénicos","Por recibir pago","2026-03-26T16:40:32Z","Lead,Por realizarse,Por facturar","Frida Ruh","24000",
"00b48345-296c-4f6c-b011-d5d946595244","Collective Master Class","Por facturar","2026-03-01T14:05:34Z","Por realizarse","Frida Ruh","2800",
"1d5867fe-509e-4fc2-b38e-97d0146badbf","Conferencia Empresas Globales","Pagado","2026-02-23T21:33:15Z","","Frida Ruh","31657.56",
"bc13c428-66f9-4897-99ff-1dedc6773355","Clase Amerike","Pagado","2026-03-03T21:11:24Z","Por realizarse,Por recibir pago","Frida Ruh","10500",
"ce107925-fc5a-4508-9560-90ab6b3dd451","Coca Cola (Digital & AI Day) - Hibrids","Pagado","2026-03-06T22:46:07Z","Por facturar,Por recibir pago","Frida Ruh","10000",
"83a05dad-3625-48c9-a3db-06f858a91839","Clases IA Yango","Lead","2026-02-23T19:24:12Z","","Frida Ruh",,
"055666e9-6a64-4fd2-81e4-ec93b894275b","Clases Swatch","Pagado","2026-03-26T16:40:21Z","Por facturar,Por recibir pago","Frida Ruh","12000",
"e7efb9b6-dd7c-459e-a41f-d9c903beca31","Conferencia Boehringer en Cancun","Pagado","2026-03-26T08:01:10Z","Por recibir pago","Frida Ruh","25000",
